TICKER,DATE,PRICE_TARGET,EVAL_LO,EVAL_HI,BUY_LO,BUY_HI,SOURCE,PX_LAST,BEST_TARGET_PRICE,EQY_DVD_YLD_IND,EQY_BETA,GICS_SECTOR_NAME,PAM_UPSIDE,CONSENSUS_UPSIDE,PAM_UPSIDE_RANK,CONSENSUS_UPSIDE_RANK,DVD_YLD_RANK,BETA_RANK,GROWTH_SCORE,CONSERVATIVE_SCORE,GROWTH_RANK,CONSERVATIVE_RANK
jnj,2020-04-21,186,139,165,140,160,FALSE,155.51,160.0500030517578,2.593567414683846,0.7490485906600952,Health Care,1.196064561764517,1.0291942836586574,4,7,6,7,5.7,6.000000000000001,5,8
nvs,2020-04-21,94,82,97,NA,NA,FALSE,88.1,100,3.504387501555323,0.7675355672836304,Health Care,1.0669693530079456,1.1350737797956867,8,5,2,6,6,4.6000000000000005,7,5
unp,2020-04-21,152,135,160,NA,NA,FALSE,152.29,164.32142639160156,2.550618008441308,1.0537534952163696,Industrials,0.9980957383938539,1.0790033908437953,9,8,5,4,7.700000000000001,6.2,9,7
amzn,2020-04-21,2515,2406,2646,NA,NA,FALSE,2399.45,2465.486328125,NA,0.8158115744590759,Consumer Discretionary,1.048156869282544,1.0275214437162683,3,4,3,4,3.5000000000000004,3.4000000000000004,4,4
sbux,2020-04-21,75,69,84,NA,NA,FALSE,75.15,78.62068939208984,2.182302043506168,1.044447422027588,Consumer Discretionary,0.998003992015968,1.0461834915780417,4,3,2,2,3.2000000000000006,2.6,3,2.5
pg,2020-04-21,127,122,134,NA,NA,FALSE,119.4,128.85000610351562,2.648911284441924,0.7305042147636414,Consumer Staples,1.0636515912897822,1.0791457797614374,4,5,2,5,4.300000000000001,3.6,5,3
ths,2020-04-21,66,45,55,46,54,FALSE,48.99,54.33333206176758,NA,0.6065055727958679,Consumer Staples,1.3472137170851193,1.109069852250818,2,3,7,7,3.4000000000000004,5.2,3,6
goog,2020-04-21,1395,1152,1408,1153,1328,FALSE,1276.31,1461.6666259765625,NA,0.8890772461891174,Communication Services,1.0929946486355195,1.1452285306677552,4,3,4,3,3.5,3.6,4,4
atvi,2020-04-21,88,59,73,60,72,FALSE,65.88,68.909088134765625,0.6223436497020663,0.7501474022865295,Communication Services,1.3357619914996965,1.0459788727195753,2,4,3,4,3.1,3.2,3,3
all,2020-04-14,128,90,110,89,111,FALSE,99.45,113.375,2.1675866390674243,1.1379203796386719,Financials,1.2870789341377575,1.1400201106083458,5,7,7,5,6.000000000000001,6.200000000000001,6,6
c,2020-04-14,74,41,51,42,50,FALSE,42.46,59.724998474121094,4.804521813125358,1.4428714513778687,Financials,1.7428167687235046,1.406617957468702,3,1,3,2,2.1,2.4,2,2
